Input,Ground Truth,Release,Artist
capture/IMG_5348-0000.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0001.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0002.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0003.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0004.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0005.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0006.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0007.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0008.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0009.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0010.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0011.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0012.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0013.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0014.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0015.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0016.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0017.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0018.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0019.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0020.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0021.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0022.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0023.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0024.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0025.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0026.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0027.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0028.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0029.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0030.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0031.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
capture/IMG_5348-0032.jpg,reference/71FHenuWTqL.jpg,Queen II,Queen
